no;id;unit;time;value;sec.agriculture;sec.energy;sec.industry;sec.construction;sec.services.venta;sec.services.nonventa;school.illit;school.prim;school.med;school.high;school.post.high;popdens;invest;invest_ratio;value_raw
1;1;Spain (Espana);1955;2.354541638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.354541638
2;1;Spain (Espana);1956;2.480148581;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.480148581
3;1;Spain (Espana);1957;2.603613149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.603613149
4;1;Spain (Espana);1958;2.637103597;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.637103597
5;1;Spain (Espana);1959;2.669880139;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.669880139
6;1;Spain (Espana);1960;2.86996575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.86996575
7;1;Spain (Espana);1961;3.047486354;19.54000092;4.710000038;26.42000008;6.269999981;36.61999893;6.440000057;NA;NA;NA;NA;NA;NA;NA;NA;3.047486354
8;1;Spain (Espana);1962;3.273279168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.273279168
9;1;Spain (Espana);1963;3.493501935;19.04999924;4.309999943;26.04999924;6.829999924;38;5.769999981;NA;NA;NA;NA;NA;NA;NA;NA;3.493501935
10;1;Spain (Espana);1964;3.600114279;NA;NA;NA;NA;NA;NA;2863.27832;18679.0957;1064.245728;359.7457275;212.1434174;NA;18.36018372;5.09988914;3.600114279
11;1;Spain (Espana);1965;3.700799841;16.15999985;4.309999943;27.01000023;7.639999866;38.40000153;6.480000019;2826.321533;18805.34961;1129.031128;377.9471436;218;NA;20.57306099;5.559085028;3.700799841
12;1;Spain (Espana);1966;3.823479023;NA;NA;NA;NA;NA;NA;2789.842041;18959.24609;1201.23584;398.7253723;224.3354034;NA;22.26300049;5.822707631;3.823479023
13;1;Spain (Espana);1967;3.939660254;14.11999989;4.139999866;26.73999977;7.670000076;39.56999969;7.760000229;2753.833252;19178.0957;1285.103516;422.2678833;231.9750061;NA;22.63476563;5.745359794;3.939660254
14;1;Spain (Espana);1968;4.173736006;NA;NA;NA;NA;NA;NA;2718.289063;19319.00195;1487.380737;447.3210754;236.0500031;NA;23.11261559;5.537632364;4.173736006
15;1;Spain (Espana);1969;4.410525738;12.81000042;4.130000114;26.77000046;7.840000153;40.06000137;8.390000343;2683.203857;19459.55859;1696.146851;474.9411621;252.25;66.33999634;23.82350159;5.401510613;4.410525738
16;1;Spain (Espana);1970;4.591688229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.45126724;5.107330044;4.591688229
17;1;Spain (Espana);1971;4.769065877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.70072556;4.550309456;4.769065877
